Run,Reference,,T_C,P_kbar,fO2_value,fO2_unit,fO2_comment,n_cpx,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeO_Cpx,Fe2O3_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,P2O5_Cpx,Cr2O3_Cpx,NiO_Cpx,SiO2_Cpx_sd,TiO2_Cpx_sd,Al2O3_Cpx_sd,FeO_Cpx_sd,Fe2O3_Cpx_sd,MnO_Cpx_sd,MgO_Cpx_sd,CaO_Cpx_sd,Na2O_Cpx_sd,K2O_Cpx_sd,P2O5_Cpx_sd,Cr2O3_Cpx_sd,NiO_Cpx_sd,Cpx_sd,n_Liq,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeO_Liq,Fe2O3_Liq,MnO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,Cr2O3_Liq,NiO_Liq,H2O_Liq,H2O_Method,UnnormalizedTotal_Liq,Total_100_norm,SiO2_Liq_sd,TiO2_Liq_sd,Al2O3_Liq_sd,FeO_Liq_sd,Fe2O3_Liq_sd,MnO_Liq_sd,MgO_Liq_sd,CaO_Liq_sd,Na2O_Liq_sd,K2O_Liq_sd,P2O5_Liq_sd,Cr2O3_Liq_sd,NiO_Liq_sd,SiO2_Start,TiO2_Start,Al2O3_Start,Cr2O3_Start,FeO_Start,Fe2O3_Start,MnO_Start,MgO_Start,CaO_Start,Na2O_Start,K2O_Start,P2O5_Start,NiO_Start,H2O_Start,H2O_sat,Bt_Frac,Amph_Frac,Phl_Frac,Ap_Frac,Liq_frac,H2O_measurement,Comments
13-1,Pichavant_et_al_2014,,1150,2,,,,1,"47,4","0,84","5,79","6,65",,"0,09","14,5","22,7","0,16","0,03",0,"0,09",0,,,,,,,,,,,,,,,5,"48,9","1,04","16,9","7,24",,"0,16","5,45","10,1","2,33","6,63","1,19","0,03","0,01",,,"97,2",,"0,3","0,06","0,1","0,25",,"0,07","0,11","0,2","0,07","0,19","0,07","0,08","0,01","47,8","1,05","12,4",,"7,31",,"0,14","8,01","14,5","1,57","4,11","0,79",,,Sat,,,,,64,,
13-2,Pichavant_et_al_2014,,1150,2,,,,1,"47,4","0,8","6,37","7,56",,0,"14,5","22,8","0,25","0,2","0,17","0,1","0,05",,,,,,,,,,,,,,,6,"49,6","1,09",17,"6,78",,"0,12","5,05","9,6","2,46","7,06","1,17","0,03","0,04",,,"97,5",,"0,4","0,07","0,2","0,28",,"0,09","0,1","0,17","0,12","0,15","0,04","0,05","0,06","48,8","0,93","13,8",,"7,44",,"0,13","6,51","12,6","1,79","5,3","0,87",,,Sat,,,,,77,,
15-1,Pichavant_et_al_2014,,1150,"0,98",,,,1,"46,5","0,98","5,72","8,22",,"0,19","14,4","22,7","0,22","0,15",0,"0,37","0,03",,,,,,,,,,,,,,,5,"48,6","1,17","15,8","7,41",,"0,12","6,44","11,8","2,02","5,48",1,"0,01","0,05",,,"96,6",,"0,2","0,12","0,2","0,27",,"0,07","0,17","0,3","0,08","0,16","0,04","0,03","0,08","47,8","1,05","12,4",,"7,31",,"0,14","8,01","14,5","1,57","4,11","0,79",,,Sat,,,,,73,,
15-2,Pichavant_et_al_2014,,1150,"0,98",,,,1,"45,7","1,34","7,34","9,16",,0,"13,3",23,"0,23","0,11","0,11","0,47","0,07",,,,,,,,,,,,,,,5,"48,9","1,16","15,9","7,36",,"0,16","6,06","11,3","2,17","5,87","1,06",0,"0,01",,,"96,8",,"0,1","0,03","0,2","0,32",,"0,09","0,07","0,02","0,07","0,07","0,09","0,01","0,02","47,8","1,05","12,4",,"7,31",,"0,14","8,01","14,5","1,57","4,11","0,79",,,Sat,,,,,69,,
15-3,Pichavant_et_al_2014,,1150,"0,98",,,,1,"49,4","0,6","4,47","5,83",,0,"15,9","23,6","0,27","0,16","0,14","0,2","0,15",,,,,,,,,,,,,,,5,"48,3","1,12","15,5","7,84",,"0,13","6,55","11,7","2,42","5,37","1,02","0,01","0,03",,,"96,4",,"0,2","0,13","0,1","0,3",,"0,04","0,13","0,1","0,06","0,12","0,05","0,02","0,04","47,8","1,05","12,4",,"7,31",,"0,14","8,01","14,5","1,57","4,11","0,79",,,Sat,,,,,76,,
15-4,Pichavant_et_al_2014,,1150,"0,98",,,,1,47,"0,99","7,5","7,44",,"0,29","13,8","22,5","0,39","0,34","0,18","0,45","0,23",,,,,,,,,,,,,,,5,"48,5","1,04","15,9","7,59",,"0,11","6,27","11,3","2,29","5,77","1,09","0,06","0,04",,,"96,5",,"0,2","0,07","0,2","0,3",,"0,07","0,12","0,2","0,15","0,12","0,09","0,05","0,04","47,8","1,05","12,4",,"7,31",,"0,14","8,01","14,5","1,57","4,11","0,79",,,Sat,,,,,69,,
15-5,Pichavant_et_al_2014,,1150,"0,98",,,,3,"48,3","0,72","4,42","6,26",,"0,13","15,4",23,"0,23","0,14","0,09","0,3","0,06","0,2","0,15","0,16","0,33",,"0,07","0,3","0,3","0,02","0,03","0,16","0,04","0,1",,7,"49,3","1,02","15,9","7,33",,"0,11","5,86","10,8","2,32","6,29","1,06",0,"0,02",,,"96,8",,"0,4","0,09","0,2","0,4",,"0,05","0,15","0,3","0,13","0,15","0,09","0,01","0,03","48,8","0,93","13,8",,"7,44",,"0,13","6,51","12,6","1,79","5,3","0,87",,,Sat,,,,,86,,
12-2,Pichavant_et_al_2014,,1100,"1,01",,,,3,"45,9","0,93","7,56","8,24",,"0,14","13,6","22,5","0,37","0,19","0,4","0,03","0,04","0,9","0,07","0,09","0,44",,"0,04","0,3","0,2","0,01","0,17","0,08","0,02","0,07",,4,"50,8","1,01","17,9","7,39",,"0,25","3,53","7,86","3,17","6,58","1,37",0,"0,06",,,"97,6",,"0,4","0,05","0,4","0,2",,"0,08","0,05","0,23","0,12","0,21","0,04",0,"0,06","48,8","0,93","13,8",,"7,44",,"0,13","6,51","12,6","1,79","5,3","0,87",,,Sat,,,,,55,,
12-3,Pichavant_et_al_2014,,1100,"1,01",,,,2,"46,8","0,94","7,31","7,65",,"0,11","13,5","21,9","0,38","0,52","0,31",0,"0,01","1,1","0,03","0,81","0,84",,"0,04","0,4","0,7",0,"0,15","0,16",0,"0,01",,4,"50,5","1,09","17,7","7,83",,"0,15","3,56","7,95","3,36","6,44","1,39","0,04",0,,,"96,5",,"0,4","0,03","0,1","0,14",,"0,13","0,08","0,15","0,13","0,13","0,05","0,06",0,"48,8","0,93","13,8",,"7,44",,"0,13","6,51","12,6","1,79","5,3","0,87",,,Sat,,,,,56,,
12-5,Pichavant_et_al_2014,,1100,"1,01",,,,2,"44,7","1,1","7,83","8,68",,"0,12","13,6","22,8","0,37","0,19","0,45",0,"0,1","0,4","0,09","0,23","0,28",,0,"0,1","0,6","0,03",0,"0,01",0,"0,05",,5,"50,6","1,07","18,1","7,03",,"0,13","3,72","7,55","3,03","7,38","1,27","0,05",0,,,"95,8",,"0,5","0,05","0,2","0,16",,"0,12","0,11","0,21","0,12","0,12","0,11","0,06",0,"48,8","0,93","13,8",,"7,44",,"0,13","6,51","12,6","1,79","5,3","0,87",,,Sat,,,,,60,,
16-1,Pichavant_et_al_2014,,1150,"0,49",,,,2,"46,4","0,78","6,38","7,79",,"0,13","14,4","22,7","0,28","0,27","0,05","0,4","0,23","0,9","0,13","1,03","1,18",,"0,14","0,5","0,4","0,02","0,21","0,07","0,02","0,29",,5,"48,4","1,07","14,7","7,85",,"0,17","7,32","12,6","1,93","4,97","0,91","0,01","0,07",,,"96,6",,"0,3","0,1","0,1","0,29",,"0,07","0,11","0,2","0,08","0,11","0,09","0,01","0,08","47,8","1,05","12,4",,"7,31",,"0,14","8,01","14,5","1,57","4,11","0,79",,,Sat,,,,,81,,
16-2,Pichavant_et_al_2014,,1150,"0,49",,,,1,"47,4","0,82","6,63","7,49",,"0,22","14,8","22,5","0,33","0,48","0,09","0,39","0,01",,,,,,,,,,,,,,,7,"48,1","1,09","14,9","8,1",,"0,12","7,11","12,4","2,15","5,05","1,01",0,"0,02",,,"96,6",,"0,3","0,07","0,2","0,37",,"0,07","0,1","0,2","0,15","0,13","0,07",0,"0,03","47,8","1,05","12,4",,"7,31",,"0,14","8,01","14,5","1,57","4,11","0,79",,,Sat,,,,,79,,
16-3,Pichavant_et_al_2014,,1150,"0,49",,,,1,"48,2","0,8","5,26","6,67",,0,15,"23,4","0,18","0,18",0,"0,19",0,,,,,,,,,,,,,,,5,"48,8","1,18","15,7","7,63",,"0,17","6,32","11,4","2,1","5,65","1,04","0,02","0,04",,,"96,9",,"0,2","0,08","0,1","0,16",,"0,08","0,17","0,4","0,09","0,2","0,11","0,03","0,04","47,8","1,05","12,4",,"7,31",,"0,14","8,01","14,5","1,57","4,11","0,79",,,Sat,,,,,73,,
16-4,Pichavant_et_al_2014,,1150,"0,49",,,,1,"48,1","0,6","4,98","6,2",,"0,23","14,7","23,5","0,17","0,15",0,"0,43","0,01",,,,,,,,,,,,,,,5,"49,3","0,99","15,8","7,13",,"0,09","6,02",11,"2,12","6,42","1,01","0,08","0,04",,,97,,"0,3","0,08","0,2","0,3",,"0,07","0,17","0,2","0,1","0,14","0,05","0,07","0,04","48,8","0,93","13,8",,"7,44",,"0,13","6,51","12,6","1,79","5,3","0,87",,,Sat,,,,,87,,
4,Pichavant_et_al_2014,,1212,"0,001",,,,3,"51,2","0,47","3,72","3,84",,"0,11","17,6","23,8","0,16","0,15",0,"0,46",0,"0,6","0,05","1,57","0,12",,"0,1","0,14","1,4","0,24","0,64","0,09","0,16","0,06",,6,"49,5","1,04","13,6","6,43",,"0,14","7,83","14,8","1,66","4,2","0,83","0,05","0,02",,,"98,8",,"0,3","0,05","0,2","0,31",,"0,07","0,13","0,3","0,06","0,12","0,04","0,06","0,05","47,8","1,05","12,4",,"7,31",,"0,14","8,01","14,5","1,57","4,11","0,79",,0,Anhydrous,,,,,97,,
6,Pichavant_et_al_2014,,1192,"0,001",,,,8,"46,3","0,82","6,65","7,75",,"0,15","14,9",23,"0,16","0,15","0,36","0,09","0,05","0,5","0,1","1,01","0,45",,"0,1","0,9","1,4","0,2","0,61","0,08","0,05","0,06",,3,"49,3","1,07","14,7","6,96",,"0,08","6,77","13,2","1,88","5,08","0,91","0,01","0,03",,,"98,2",,"0,2","0,04",0,"0,1",,"0,07","0,18","0,1","0,1","0,19","0,08","0,02","0,05","47,8","1,05","12,4",,"7,31",,"0,14","8,01","14,5","1,57","4,11","0,79",,0,Anhydrous,,,,,81,,
7,Pichavant_et_al_2014,,1123,"0,001",,,,5,"50,2","0,89","4,84",4,,"0,12","16,4","23,6","0,17","0,15","0,37","0,13","0,05",1,"0,26","1,39","0,35",,"0,12","0,8","0,4","0,1","0,2","0,09","0,08","0,06",,5,"48,4","1,16","15,7","7,11",,"0,16","6,1","12,9","2,38","5,07","0,96","0,01","0,02",,,"98,4",,"0,3","0,05","0,1","0,19",,"0,06","0,06","0,03","0,05","0,26","0,04","0,03","0,04","47,8","1,05","12,4",,"7,31",,"0,14","8,01","14,5","1,57","4,11","0,79",,0,Anhydrous,,,,,80,,
8,Pichavant_et_al_2014,,1201,"0,001",,,,1,"52,6","0,51","3,11","2,38",,0,"17,9","22,4","0,24","0,15","0,25","0,52",0,,,,,,,,,,,,,,,7,"50,3","0,96","14,7","6,18",,"0,16","6,66","13,3","2,13","4,84","0,73","0,02","0,01",,,"95,8",,"0,3","0,06","0,2","0,29",,"0,09","0,17","0,4","0,05","0,14","0,09","0,02","0,03","48,8","0,93","13,8",,"7,44",,"0,13","6,51","12,6","1,79","5,3","0,87",,0,Anhydrous,,,,,100,,
6,Pichavant_et_al_2014,,1192,"0,001",,,,1,"48,8","0,81","4,32","4,26",,"0,11","16,3","22,8","0,19","0,15","0,3","0,27","0,16",,,,,,,,,,,,,,,4,"49,2","1,02","14,6","7,24",,"0,2","6,61","13,4","1,76","4,94","0,9","0,01","0,04",,,"96,3",,"0,3","0,04","0,7","0,28",,"0,07","0,21","0,2","0,09","0,04","0,1","0,02","0,07","48,8","0,93","13,8",,"7,44",,"0,13","6,51","12,6","1,79","5,3","0,87",,0,Anhydrous,,,,,100,,
5,Pichavant_et_al_2014,,1180,"0,001",,,,3,"43,6","0,89","7,09","9,56",,"0,2","13,3","22,9","0,26","0,15","0,48","0,05",0,"0,4","0,11","0,12","0,25",,"0,04","1,5","2,1","0,22","0,92","0,12","0,07","0,01",,6,"50,1","1,04","15,7","7,04",,"0,16","5,63","11,5","2,19","5,51","1,02","0,08","0,03",,,"97,6",,"0,7","0,07","0,3","0,6",,"0,11","0,22","0,3","0,09","0,2","0,08","0,08","0,07","48,8","0,93","13,8",,"7,44",,"0,13","6,51","12,6","1,79","5,3","0,87",,0,Anhydrous,,,,,77,,
GTR9-3,Romano_et_al_2018,,950,"1,5",,,,1,"52,11","0,90","1,18","9,27",,"1,16","13,79","20,00","0,57","0,10","0,01",,,,,,,,,,,,,,,,,7,"66,57","0,85","15,96","3,35",,"0,18","0,66","1,35","6,35","4,59","0,14",,,"3,47",From_fH2O,,,"0,65","0,09","0,31","0,19",,"0,09","0,02","0,08","0,38","0,12","0,09",,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,"95,8",,
GTR9-5,Romano_et_al_2018,,950,"1,5",,,,5,"52,36","0,83","1,01","10,96",,"1,26","13,75","19,09","0,42","0,10","0,00",,,"0,26","0,23","0,42","1,08",,"0,23","0,62","0,82","0,15","0,07","0,00",,,,7,"66,05","0,94","15,84","3,45",,"0,24","0,69","1,48","6,35","4,77","0,19",,,"1,44",From_fH2O,,,"0,52","0,11","0,1","0,27",,"0,1","0,03","0,07","0,52","0,13","0,04",,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,"96,8",,
GTR7-1,Romano_et_al_2018,,900,"1,5",,,,6,"52,38","0,50","0,69","11,83",,"1,10","12,79","19,84","0,42","0,07","0,03",,,"0,46","0,13","0,21","0,68",,"0,11","0,44","0,31","0,07","0,03","0,04",,,,20,"66,26","0,63","15,34","4,51",,"0,2","0,59","1,38","6,38","4,59","0,11",,,"4,95",From_fH2O,,,"0,81","0,09","0,33","0,68",,"0,09","0,1","0,16","0,62","0,11","0,07",,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,"97,1",,
GTR7-2,Romano_et_al_2018,,900,"1,5",,,,7,"51,77","0,52","1,29","14,00",,"1,39","11,05","18,68","0,64","0,12","0,02",,,"0,51","0,17","0,42","1,64",,"0,17","0,63","0,69","0,08","0,04","0,04",,,,5,"67,62","0,47","15,75","3,41",,"0,13","0,31","0,82","6,49","4,91","0,08",,,"4,46",From_fH2O,,,"0,83","0,06","0,17","0,35",,"0,06","0,11","0,08","0,94","0,14","0,06",,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,"93,5",,
GTR7-3,Romano_et_al_2018,,900,"1,5",,,,7,"51,54","0,59","1,59","19,35",,"1,46","8,49","15,96","0,75","0,42","0,06",,,"0,29","0,19","0,63","1,78",,"0,28","0,64","0,55","0,21","0,28","0,04",,,,3,"68,52","0,38","14,81","3,79",,"0,04","0,16","0,68","6,44","5,05","0,14",,,"3,54",From_fH2O,,,"0,17","0,08","0,4","0,28",,"0,07","0,09","0,05","0,8","0,12","0,03",,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,"50,8",,
GTR7-4,Romano_et_al_2018,,900,"1,5",,,,2,"49,82","0,49","0,65","21,15",,"1,52","8,86","15,76","0,59","0,06","0,05",,,"0,82","0,01","0,21","0,62",,"0,06","0,21","0,68","0,09","0,00","0,00",,,,1,"70,25","0,49","13,34","3,37",,0,"0,33","0,85","6,42","4,8","0,15",,,"2,51",From_fH2O,,,,,,,,,,,,,,,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,36,,
GTR8-1,Romano_et_al_2018,,850,"1,5",,,,3,"52,95","0,24","1,40","14,38",,"1,60","10,38","19,16","0,53","0,02","0,01",,,"0,51","0,06","0,11","1,53",,"0,57","0,34","0,54","0,25","0,04","0,06",,,,1,"67,16","0,39","15,6","3,76",,"0,15","0,15","1,1","6,22","5,07","0,4",,,"4,95",From_fH2O,,,"0,77","0,07","0,43","0,5",,"0,03",0,"0,3","0,5","0,18","0,02",,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,"94,3",,
GTR8-2,Romano_et_al_2018,,850,"1,5",,,,7,"53,46","0,68","3,90","15,89",,"1,48","7,26","15,67","1,25","0,20","0,03",,,"1,15","0,35","0,63","1,17",,"0,17","0,67","0,97","0,15","0,20","0,09",,,,3,"68,34","0,56","14,59","3,85",,"0,17","0,12","0,45","6,74","5,08","0,09",,,"4,47",From_fH2O,,,"0,3","0,04","0,09","0,72",,"0,02","0,04","0,03","0,2","0,13","0,02",,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,"33,4",,
GTR8-3,Romano_et_al_2018,,850,"1,5",,,,6,"50,19","0,66","1,22","21,97",,"1,93","6,45","15,46","0,80","0,13","0,08",,,"0,76","0,16","0,33","1,86",,"0,43","0,31","0,91","0,12","0,11","0,18",,,,3,"69,85","0,3","13,94","3,1",,"0,07","0,14","0,82","6,74","4,64","0,38",,,"3,46",From_fH2O,,,"0,8","0,02","0,6","0,22",,"0,01","0,03","0,04",0,"0,35","0,08",,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,"24,2",,
GTR10-3,Romano_et_al_2018,,950,1,,,,11,"52,29","0,51","1,23","13,66",,"1,21","11,66","18,75","0,51","0,18","0,08",,,"0,61","0,11","0,44","0,99",,"0,15","0,34","0,81","0,12","0,13","0,09",,,,13,"65,9","0,77","15,67","3,99",,"0,16","0,54","1,42","6,7","4,63","0,22",,,"2,58",From_fH2O,,,"0,56","0,06","0,13","0,48",,"0,08","0,02","0,36","0,58","0,19","0,28",,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,"96,5",,
GTR10-4,Romano_et_al_2018,,950,1,,,,15,"51,71","0,71","1,22","14,68",,"1,22","11,12","18,26","0,49","0,14","0,03",,,"0,82","0,12","0,88","1,14",,"0,20","0,76","1,04","0,28","0,10","0,05",,,,6,"65,87","0,75","15,8","4,3",,"0,16","0,44","1,35","6,72","4,73","0,19",,,"2,01",From_fH2O,,,"0,35","0,1","0,13","0,35",,"0,06","0,02","0,09","0,56","0,09","0,07",,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,96,,
GTR10-5,Romano_et_al_2018,,950,1,,,,7,"52,14","0,82","1,41","18,56",,"1,60","9,62","15,48","0,56","0,26","0,29",,,"1,40","0,29","0,93","2,01",,"0,23","0,76","1,94","0,08","0,13","0,11",,,,1,"66,65","0,68","14,68","4,8",,"0,22","0,35",1,"6,36","5,09","0,16",,,"1,11",From_fH2O,,,,,,,,,,,,,,,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,68,,
GTR2-1,Romano_et_al_2018,,900,1,,,,4,"51,10","0,49","1,19","12,40",,"1,19","12,20","20,10","0,60","0,09","0,03",,,"0,87","0,12","0,12","0,90",,"0,40","0,32","0,87","0,13","0,02",,,,,5,"65,72","0,56","15,72","4,62",,"0,21","0,59","1,48","6,33","4,57","0,2",,,"3,84",From_fH2O,,,"0,39","0,07","0,12","0,48",,"0,1","0,03","0,1","0,09","0,04","0,1",,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,"97,1",,
GTR2-2,Romano_et_al_2018,,900,1,,,,10,"52,02","0,43","1,71","13,79",,"1,25","11,59","18,78","0,65","0,22","0,03",,,"0,89","0,12","0,87","1,05",,"0,48","0,34","0,89","0,11","0,18","0,04",,,,4,"66,38","0,42","15,74","4,43",,"0,23","0,55","1,37","6,22","4,54","0,12",,,"3,41",From_fH2O,,,"0,75","0,1","0,04","0,3",,"0,08","0,11","0,19","0,37","0,15","0,11",,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,"95,6",,
GTR2-3,Romano_et_al_2018,,900,1,,,,5,"50,82","0,81","1,51","19,68",,"1,75","10,27","15,54","0,54","0,13","0,14",,,"0,61","0,87","0,27","1,67",,"0,12","0,42","1,26","0,16","0,03","0,08",,,,3,"67,61","0,48","15,35","3,35",,"0,07","0,3","1,13","6,5","4,95","0,26",,,"2,65",From_fH2O,,,"0,16","0,51","15,08","0,39",,"0,09","0,29","0,1","0,07","0,08","0,09",,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,"75,2",,
GTR2-4,Romano_et_al_2018,,900,1,,,,5,"50,67","0,59","1,15","20,72",,"1,65","8,78","15,26","0,65","0,26","0,10",,,"0,62","0,12","0,39","1,95",,"0,28","0,41","0,98","0,17","0,10","0,17",,,,3,"67,69","0,56","14,59","4,27",,"0,19","0,27","0,91","6,29","4,98","0,25",,,"2,01",From_fH2O,,,"0,61","0,11","0,42","0,7",,"0,05","0,03","0,14","0,73","0,15","0,22",,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,"61,8",,
GTR4-6,Romano_et_al_2018,,850,1,,,,10,"51,48","0,49","1,57","13,04",,"1,42","10,83","19,13","0,96","0,00","0,00",,,"0,92","0,33","0,97","1,11",,"0,41","0,72","0,32","0,20","0,07","0,05",,,,4,"68,69","0,23","15,83","2,3",,"0,22","0,14","0,65","7,24","4,67","0,03",,,"3,84",From_fH2O,,,"0,33","0,07","0,3","0,08",,"0,08","0,01","0,04","1,52","0,62","0,07",,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,"90,7",,
GTR4-7,Romano_et_al_2018,,850,1,,,,2,"50,78","0,54","2,58","16,99",,"1,56","8,35","16,04","1,43","0,02","0,03",,,"0,58","0,17","1,09","0,28",,"0,28","0,99","0,29","0,54","0,54","0,18",,,,5,"69,34","0,19","15,11","3,07",,"0,04","0,13","0,49","6,8","4,81","0,01",,,"3,45",From_fH2O,,,"0,24","0,02","0,1","0,16",,"0,05","0,01","0,03","0,2","0,07","0,01",,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,"48,9",,
GTR4-8,Romano_et_al_2018,,850,1,,,,6,"50,24","0,52","1,18","24,37",,"1,93","6,62","13,41","0,96","0,02","0,03",,,"0,95","0,34","0,37","1,44",,"0,47","0,21","1,33","0,23","0,19","0,33",,,,2,"70,21","0,64","13,1","4,13",,"0,12","0,19","0,53","6,48","4,51","0,09",,,"2,66",From_fH2O,,,"0,45","0,1","0,67","0,44",,"0,07","0,09","0,1","0,3","0,13","0,04",,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,"35,9",,
GTR4-9,Romano_et_al_2018,,850,1,,,,1,"49,58","0,73","1,50","27,64",,"1,70","5,16","13,32","1,30","0,40","0,06",,,"0,58","0,41","0,97","0,28",,"0,21","0,32","0,21","0,16","0,00","0,00",,,,2,"70,33","0,44","12,8","3,94",,"0,32","0,38","1,07","6,22","4,22","0,27",,,"2,14",From_fH2O,,,"2,84","0,14","0,77","0,57",,"0,04","0,19","0,53","0,92","0,37","0,16",,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,"30,2",,
GTR14-1,Romano_et_al_2018,,800,1,,,,4,"51,54","0,95","4,01","16,56",,"1,83","7,61","15,43","1,69","0,49","0,05",,,"0,87","0,23","1,40","0,93",,"0,32","0,92","1,23","0,24","0,30","0,10",,,,8,"71,28","0,27","13,52","2,87",,"0,22","0,11","0,43","6,55","4,72","0,03",,,"3,84",From_fH2O,,,"1,64","0,08","0,46","0,35",,"0,07","0,15","0,39","0,86","0,5","0,12",,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,"25,2",,
GTR14-2,Romano_et_al_2018,,800,1,,,,4,"52,52","0,44","2,73","24,72",,"1,89","6,00","11,83","1,60","0,68","0,12",,,"0,99","0,05","0,58","0,54",,"0,18","0,24","0,82","0,43","0,30","0,10",,,,1,"71,54","0,34","12,95","2,94",,"0,15","0,17","0,74","6,52","4,22","0,45",,,"3,46",From_fH2O,,,,,,,,,,,,,,,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,"19,3",,
GTR14-5,Romano_et_al_2018,,800,1,,,,5,"49,86","0,38","1,41","26,86",,"2,07","5,66","11,31","1,04","0,33","0,11",,,"1,01","0,01","0,49","0,66",,"0,20","0,40","1,65","0,41","0,15","0,14",,,,2,"72,75","0,31","11,84","3,61",,"0,15","0,13","0,78","6,14","3,96","0,33",,,"2,69",From_fH2O,,,"1,21","0,01","0,58","0,48",,"0,12","0,01","0,14","0,25","0,04","0,03",,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,"18,7",,
GTR3-6,Romano_et_al_2018,,750,1,,,,3,"50,05","1,27","3,61","21,48",,"1,54","5,70","12,66","2,00","0,60","0,11",,,"1,45","0,52","0,94","1,24",,"0,19","0,37","1,03","0,45","0,40","0,09",,,,8,"70,77","0,56","12,1","4,66",,"0,04","0,2","0,73","6,09","4,29","0,56",,,"3,84",From_fH2O,,,"0,2","0,19","0,8","1,1",,"0,13","0,18","0,43","0,85","0,52","0,17",,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,"23,8",,
GTR11-3,Romano_et_al_2018,,950,"0,5",,,,10,"52,07","0,76","1,78","14,45",,"1,19","11,38","17,67","0,67","0,19","0,20",,,"1,20","0,23","0,69","0,98",,"0,14","0,44","0,90","0,27","0,06","0,07",,,,4,"65,19","0,86","15,22","4,65",,"0,22","0,57","1,43","6,94","4,74","0,18",,,"2,08",From_fH2O,,,"0,38","0,04","0,23","0,38",,"0,11","0,11","0,19","0,09","0,26","0,08",,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,"97,6",,
GTR11-4,Romano_et_al_2018,,950,"0,5",,,,13,"52,31","0,71","1,63","15,73",,"1,29","10,82","16,94","0,53","0,35","0,02",,,"1,26","0,19","1,32","2,31",,"0,23","1,07","1,78","0,32","0,27","0,02",,,,6,"65,2",1,"14,87","5,05",,"0,33","0,28","1,49","6,31","5,47",0,,,"1,67",From_fH2O,,,"0,35","0,19","0,49","0,27",,"0,09","0,08","0,14","0,2","0,2","0,2",,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,"84,8",,
GTR11-5,Romano_et_al_2018,,950,"0,5",,,,2,"52,20","0,83","2,24","16,79",,"1,16","9,81","16,02","0,83","0,51","0,02",,,"1,62","0,07","1,49","2,10",,"0,05","0,58","0,59","0,69","0,32","0,02",,,,2,"65,77","0,74","14,31","5,67",,"0,18","0,38","1,37","6,3",5,"0,28",,,"0,83",From_fH2O,,,,,,,,,,,,,,,,"64,12","0,85","15,04",,"6,27",,"0,27","0,62","1,48","6,57","4,6","0,17",,,,,,,,"75,9",,
