Run,Reference,,T_C,P_kbar,fO2_value,fO2_unit,fO2_comment,n_cpx,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeO_Cpx,Fe2O3_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,P2O5_Cpx,Cr2O3_Cpx,NiO_Cpx,SiO2_Cpx_sd,TiO2_Cpx_sd,Al2O3_Cpx_sd,FeO_Cpx_sd,Fe2O3_Cpx_sd,MnO_Cpx_sd,MgO_Cpx_sd,CaO_Cpx_sd,Na2O_Cpx_sd,K2O_Cpx_sd,P2O5_Cpx_sd,Cr2O3_Cpx_sd,NiO_Cpx_sd,Cpx_sd,n_Liq,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeO_Liq,Fe2O3_Liq,MnO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,Cr2O3_Liq,NiO_Liq,H2O_Liq,H2O_Method,UnnormalizedTotal_Liq,Total_100_norm,SiO2_Liq_sd,TiO2_Liq_sd,Al2O3_Liq_sd,FeO_Liq_sd,Fe2O3_Liq_sd,MnO_Liq_sd,MgO_Liq_sd,CaO_Liq_sd,Na2O_Liq_sd,K2O_Liq_sd,P2O5_Liq_sd,Cr2O3_Liq_sd,NiO_Liq_sd,SiO2_Start,TiO2_Start,Al2O3_Start,Cr2O3_Start,FeO_Start,Fe2O3_Start,MnO_Start,MgO_Start,CaO_Start,Na2O_Start,K2O_Start,P2O5_Start,NiO_Start,H2O_Start,H2O_sat,Bt_Frac,Amph_Frac,Phl_Frac,Ap_Frac,Liq_frac,H2O_measurement,Comments
43,Takahashi_1986,,1550,30,,,,,"52,83","0,14","6,15","4,4",,"0,12","24,8","9,05","0,74",,,"0,98",,,,,,,,,,,,,,,,,"46,9","0,9",11,"7,8",,"0,2","19,2","12,2","1,2",0,,"0,4",,,,"99,8",,,,,,,,,,,,,,,"44,48","0,16","3,59","0,31","8,1",0,"0,12","39,22","3,44","0,3","0,02","0,03","0,25",0,,,,,,,Anhydrous,
35_K21,Takahashi&Kushiro_1983,,1275,10,,,,,"54,07","0,32","2,96","7,72",,"0,13","24,8","10,18","0,3",,,"0,23",,,,,,,,,,,,,,,,,"49,25","1,6","14,54","9,82",,"0,18","10,26","10,84","2,44","0,26",,"0,07",,,,"99,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Anhydrous,Sandwich experiments
40_K21,Takahashi&Kushiro_1983,,1300,15,,,,,"50,67","0,48","7,04","7,06",,"0,13","21,63","11,57","0,44",,,"0,44",,,,,,,,,,,,,,,,,"47,51","1,36",16,"10,32",,"0,12","10,38","10,79","2,3","0,25",,"0,04",,,,"99,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Anhydrous,Sandwich experiments
43_KRB,Takahashi&Kushiro_1983,,1375,20,,,,,"52,7","0,2","5,77","7,41",,"0,08","24,06","7,3","0,53",,,"0,32",,,,,,,,,,,,,,,,,"47,8","1,55","15,6","9,91",,"0,19","11,2","9,71","3,33",1,,"0,04",,,,"100,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Anhydrous,Sandwich experiments
FG1-Ac_EG1,Thy_et_al_2006,,1161,"0,001","-10,16",log_fO2,,10,"50,48","0,87","3,38","8,68",,"0,19","16,09","20,01","0,24",,,"0,37",,"1,04","0,05","0,58","0,5",,"0,06","0,39","0,42","0,08",,,"0,08",,,,"48,62","2,79","12,93","13,91",,"0,2","6,07","10,66","2,61","0,43","0,28",,,,,,Not_norm,,,,,,,,,,,,,,"48,26","1,35","15,34",,"8,87",,"0,15","8,07","12,88","2,08","0,24","0,16",,,,,,,,,,
FG1-Ac_EG2,Thy_et_al_2006,,1138,"0,001","-10,53",log_fO2,,8,"50,75","0,9","3,07","8,81",,"0,2","15,59","19,84","0,25",,,"0,26",,"0,59","0,11","0,83","0,89",,"0,04","0,67","0,86","0,03",,,"0,1",,,,"48,07","4,03","12,04","15,89",,"0,28","4,81","9,61","2,35","0,69","0,44",,,,,,Not_norm,,,,,,,,,,,,,,"48,26","1,35","15,34",,"8,87",,"0,15","8,07","12,88","2,08","0,24","0,16",,,,,,,,,,
FG1-Ac_EG3,Thy_et_al_2006,,1116,"0,001","-10,78",log_fO2,,17,"50,13","1,04","2,68","11,61",,"0,25","14,9","18,29","0,23",,,"0,14",,"0,77","0,21","0,76","3,47",,"0,1","1,27","1,51","0,04",,,"0,15",,,,"48,65","4,48","11,57","16,8",,"0,27","4,23","8,94","2,1","0,88","0,71",,,,,,Not_norm,,,,,,,,,,,,,,"48,26","1,35","15,34",,"8,87",,"0,15","8,07","12,88","2,08","0,24","0,16",,,,,,,,,,
FG1-Ac_EG4,Thy_et_al_2006,,1179,"0,001",-10,log_fO2,,6,"52,03","0,72","2,43","8,14",,"0,18","16,6","19,32","0,26",,,"0,29",,"0,86","0,15","0,63","0,76",,"0,06","0,59","0,46","0,04",,,"0,14",,,,"49,44","2,2","13,93","11,9",,"0,2","7,15","12,17","2,22","0,3","0,2",,,,,,Not_norm,,,,,,,,,,,,,,"48,26","1,35","15,34",,"8,87",,"0,15","8,07","12,88","2,08","0,24","0,16",,,,,,,,,,
FG1-Ac_EG5,Thy_et_al_2006,,1201,"0,001","-9,64",log_fO2,,4,"52,12","0,55","2,98","6,02",,"0,12","17,08","21,06","0,23",,,"0,68",,"0,55","0,1","0,26","0,53",,"0,02","0,23","0,23","0,02",,,"0,12",,,,"49,88","1,69","14,57","10,89",,"0,27","7,99","12,64","2,24","0,25","0,17",,,,,,Not_norm,,,,,,,,,,,,,,"48,26","1,35","15,34",,"8,87",,"0,15","8,07","12,88","2,08","0,24","0,16",,,,,,,,,,
FG1-Am_1-1,Thy_et_al_2006,,1106,"0,001","-9,72",log_fO2,,5,"51,51","1,26","2,81","12,78",,"0,24","14,39","18,01","0,2",,,"0,14",,"0,78","0,22","0,59","1,24",,"0,04","0,36","0,78","0,08",,,"0,05",,,,"48,78","4,32","12,08","16,76",,"0,24","4,13","9,18",2,"1,42","0,36",,,,,,Not_norm,,,,,,,,,,,,,,"48,04","2,05","13,96",,"12,27",,"0,19","7,12","11,54","1,9","0,82","0,19",,,,,,,,,,
